DATE|TIME|DESCRIPTION|VENDOR|TRANSACTION
2024-04-11|14:40|Easter Supplies|Target|-80.00
2024-04-22|17:20|Utilities|Energy Co|-140.00
2024-05-01|08:57|Paycheck|Personal Deposit|3350.00
2024-05-05|11:30|Mother’s Day Flowers|1-800-Flowers|-55.00
2024-05-20|16:00|Groceries|Aldi|-96.00
2024-06-01|08:59|Paycheck|Personal Deposit|3350.00
2024-06-14|15:10|Summer Vacation|Airbnb|-600.00
2024-06-27|13:50|Gas|Chevron|-49.99
2024-07-01|09:05|Paycheck|Personal Deposit|3400.00
2024-07-12|17:00|Dinner|Texas Roadhouse|-64.80
2024-07-29|14:20|Clothes|Old Navy|-115.25
2024-08-01|09:01|Paycheck|Personal Deposit|3400.00
2024-08-16|12:15|Back to School Supplies|Target|-120.50
2024-08-24|16:10|Utilities|City Power|-145.67
2024-09-01|08:58|Paycheck|Personal Deposit|3450.00
2024-09-11|18:30|Groceries|Kroger|-99.99
2024-09-30|11:50|Gas|Shell Station|-51.00
2024-10-01|09:00|Paycheck|Personal Deposit|3450.00
2024-10-13|15:00|Halloween Candy|Walmart|-42.90
2024-10-25|13:40|Utilities|Energy Co|-141.20
2024-11-01|09:02|Paycheck|Personal Deposit|3500.00
2024-11-06|17:15|Groceries|Aldi|-94.30
2024-11-24|12:30|Thanksgiving Dinner|HEB|-185.00
2024-12-01|08:57|Paycheck|Personal Deposit|3500.00
2024-12-08|15:50|Christmas Shopping|Amazon|-500.00
2024-12-20|18:20|Gift Shopping|Etsy|-145.99
2024-04-26|03:46:00|what da heck|Personal Deposit|123.0
2025-04-26|03:46:49|hi mom|Personal Deposit|123.0
2025-03-26|05:42:36|this is an example|Personal Deposit|123.0
2025-04-27|02:19:27|Grandma gave me money|Personal Deposit|50.0
